0	7	6
1	7	6
2	6	6
3	12	9
4	5	5
5	11	10
6	6	6
7	1	1
8	13	9
9	6	5
10	5	4
11	8	7
12	7	7
13	15	11
14	1	1
15	8	8
16	11	9
17	12	12
18	2	2
19	4	4
20	10	10
21	12	8
22	2	2
23	5	5
24	4	4
25	3	3
26	14	12
27	5	4
28	11	11
29	7	6
30	3	3
31	4	4
32	4	3
33	6	6
34	3	3
35	5	5
36	5	5
37	10	8
38	3	3
39	4	3
40	4	4
41	8	6
42	7	6
43	14	12
44	10	8
45	3	2
46	6	4
47	4	3
48	9	8
49	12	11
50	5	5
51	20	15
52	5	5
53	15	11
54	15	14
55	10	8
56	13	11
57	15	11
58	21	21
59	9	8
60	16	15
61	12	11
62	18	15
63	6	5
64	14	11
65	22	16
66	13	10
67	8	7
68	18	12
69	14	13
70	22	19
71	15	12
72	12	8
73	8	8
74	22	22
75	24	17
76	0	0
77	0	0
78	0	0
79	1	1
80	1	1
81	0	0
82	1	1
83	0	0
84	0	0
85	0	0
86	1	1
87	0	0
88	0	0
89	2	2
90	2	2
91	0	0
92	1	1
93	0	0
94	0	0
95	0	0
96	1	1
97	0	0
98	0	0
99	0	0
